,RBLX,RBLX,RBLX,RBLX,RBLX,RBLX,RBLX,WFC,WFC,WFC,WFC,WFC,WFC,WFC,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,PYPL,T,T,T,T,T,T,T,INTC,INTC,INTC,INTC,INTC,INTC,INTC,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,DIS,DIS,DIS,DIS,DIS,DIS,DIS,PFE,PFE,PFE,PFE,PFE,PFE,PFE,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,NUE,NUE,NUE,NUE,NUE,NUE,NUE,F,F,F,F,F,F,F,TWTR,TWTR,TWTR,TWTR,TWTR,TWTR,TWTR,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,TME,TME,TME,TME,TME,TME,TME,EBAY,EBAY,EBAY,EBAY,EBAY,EBAY,EBAY
2022-02-28,50.689998626708984,52.70000076293945,48.220001220703125,51.56999969482422,20385400,0,0,52.630001068115234,53.400001525878906,52.209999084472656,53.369998931884766,31078200,0,0,815.010009765625,876.8599853515625,814.7100219726562,870.4299926757812,33002300,0,0,110.30999755859375,113.53500366210938,108.93000030517578,111.93000030517578,25719300,0,0,23.59000015258789,23.75,23.40999984741211,23.690000534057617,47410400,0,0,47.0,47.81999969482422,46.849998474121094,47.70000076293945,41920000,0,0,294.30999755859375,299.1400146484375,293.0,298.7900085449219,34585700,0,0,147.8300018310547,149.47999572753906,146.4600067138672,148.4600067138672,10823900,0,0,46.81999969482422,47.16999816894531,46.34000015258789,46.939998626708984,35285300,0,0,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,94869100,0,0,128.82000732421875,134.3800048828125,128.1999969482422,131.6199951171875,4075400,0,0,17.34000015258789,17.68000030517578,17.209999084472656,17.559999465942383,82223600,0,0,34.95000076293945,36.04999923706055,34.849998474121094,35.54999923706055,17962000,0,0,11.494999885559082,12.095000267028809,11.3100004196167,12.010000228881836,17105400,0,0,5.300000190734863,5.539999961853027,5.210000038146973,5.389999866485596,11399700,0,0,54.095833164807594,54.76307019961694,53.189588683913456,54.36471939086914,9280300,0.0,0
2022-03-01,51.84000015258789,52.43000030517578,49.82099914550781,50.220001220703125,16097900,0,0,52.439998626708984,52.720001220703125,50.0099983215332,50.290000915527344,54135500,0,0,869.6799926757812,889.8800048828125,853.780029296875,864.3699951171875,24922300,0,0,112.7300033569336,112.75,105.56099700927734,106.51000213623047,19597700,0,0,23.610000610351562,23.760000228881836,23.170000076293945,23.530000686645508,43552400,0,0,47.540000915527344,47.900001525878906,46.220001220703125,46.81999969482422,53853000,0,0,296.3999938964844,299.9700012207031,292.1499938964844,294.95001220703125,31217800,0,0,147.86000061035156,148.14999389648438,143.77999877929688,145.6999969482422,8944000,0,0,46.689998626708984,47.13999938964844,45.439998626708984,45.75,29854500,0,0,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,83474400,0,0,132.97000122070312,136.9600067138672,128.35000610351562,131.0,3765000,0,0,17.40999984741211,17.40999984741211,16.450000762939453,16.700000762939453,94819500,0,0,35.5099983215332,36.130001068115234,34.709999084472656,35.560001373291016,17948000,0,0,12.055000305175781,12.260000228881836,11.510000228881836,11.770000457763672,12587300,0,0,5.440000057220459,5.644999980926514,5.269999980926514,5.300000190734863,12679200,0,0,54.33484197363486,54.822817703568944,53.71739786786463,54.12570571899414,9298800,0.0,0
2022-03-02,49.900001525878906,50.06999969482422,46.43000030517578,48.45000076293945,20016900,0,0,51.31999969482422,52.81999969482422,51.0,52.220001220703125,34894300,0,0,872.1300048828125,886.47998046875,844.27001953125,879.8900146484375,24881100,0,0,105.61000061035156,107.2300033569336,103.69000244140625,106.61000061035156,17023500,0,0,23.559999465942383,24.049999237060547,23.530000686645508,23.81999969482422,34459800,0,0,47.52000045776367,48.9900016784668,47.47999954223633,48.869998931884766,46936500,0,0,295.3599853515625,301.4700012207031,293.70001220703125,300.19000244140625,31873000,0,0,146.30999755859375,148.47000122070312,145.9199981689453,147.33999633789062,7851000,0,0,46.11000061035156,47.93000030517578,46.0,47.70000076293945,36516200,0,0,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,79724800,0,0,133.0800018310547,139.1300048828125,130.4499969482422,138.00999450683594,3691100,0,0,17.5,18.25,17.299999237060547,18.100000381469727,138638200,0,0,35.77000045776367,35.77000045776367,34.130001068115234,34.619998931884766,18255100,0,0,11.770000457763672,11.770000457763672,11.074999809265137,11.489999771118164,11838700,0,0,5.320000171661377,5.360000133514404,5.059999942779541,5.230000019073486,10508000,0,0,54.125707788023156,55.22117060536047,53.45847455657952,54.86265563964844,8496700,0.0,0
2022-03-03,48.52000045776367,48.52000045776367,45.0,45.2400016784668,18977400,0,0,52.349998474121094,52.560001373291016,50.939998626708984,51.2400016784668,24159700,0,0,878.77001953125,886.4400024414062,832.5999755859375,839.2899780273438,20541200,0,0,107.66000366210938,107.75,100.86000061035156,101.33999633789062,20330800,0,0,23.950000762939453,24.100000381469727,23.68000030517578,23.90999984741211,37174200,0,0,48.18000030517578,48.54999923706055,47.619998931884766,47.93000030517578,36389900,0,0,302.8900146484375,303.1300048828125,294.04998779296875,295.9200134277344,27314500,0,0,147.30999755859375,148.64999389648438,144.4499969482422,145.57000732421875,8048400,0,0,47.68000030517578,48.59000015258789,47.47999954223633,47.83000183105469,30553300,0,0,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,76678400,0,0,139.38999938964844,140.25,135.64999389648438,137.52999877929688,3385300,0,0,18.25,18.25,17.440000534057617,17.600000381469727,95395500,0,0,34.900001525878906,35.18000030517578,33.45000076293945,33.4900016784668,18792000,0,0,11.520000457763672,11.829999923706055,11.109999656677246,11.380000114440918,14725900,0,0,5.179999828338623,5.199999809265137,4.760000228881836,4.820000171661377,19260900,0,0,55.41038586685689,55.41038586685689,53.239381923206075,54.19541931152344,6139200,0.0,0
2022-03-04,46.029998779296875,46.099998474121094,41.95000076293945,42.290000915527344,19359100,0,0,50.040000915527344,50.060001373291016,48.18000030517578,48.790000915527344,35871600,0,0,849.0999755859375,855.6500244140625,825.1599731445312,838.2899780273438,22333200,0,0,100.23999786376953,102.38999938964844,98.62000274658203,99.91000366210938,20151600,0,0,23.700000762939453,23.889999389648438,23.440000534057617,23.8700008392334,36398000,0,0,47.369998931884766,48.27000045776367,47.369998931884766,48.06999969482422,38310700,0,0,294.2900085449219,295.6600036621094,287.1700134277344,289.8599853515625,32356500,0,0,144.00999450683594,144.25999450683594,139.5500030517578,140.72000122070312,12913000,0,0,47.5,48.77000045776367,47.40999984741211,48.650001525878906,33217300,0,0,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,83737200,0,0,135.8800048828125,138.89999389648438,134.33999633789062,138.72000122070312,2780600,0,0,17.350000381469727,17.389999389648438,16.639999389648438,16.850000381469727,91304000,0,0,33.75,34.22999954223633,32.95000076293945,33.38999938964844,17504000,0,0,11.1899995803833,11.67300033569336,10.850000381469727,10.960000038146973,18217500,0,0,4.75,4.900000095367432,4.53000020980835,4.570000171661377,20180000,0,0,54.0659564581209,56.207081539674554,53.86678106010424,55.430301666259766,8300800,0.0,0
2022-03-07,43.16999816894531,44.060001373291016,41.150001525878906,41.29999923706055,17648200,0,0,48.58000183105469,48.58000183105469,45.77000045776367,45.810001373291016,56332500,0,0,856.2999877929688,866.1400146484375,804.5700073242188,804.5800170898438,24164700,0,0,99.56999969482422,100.33000183105469,93.5,93.61000061035156,26529900,0,0,23.670000076293945,23.8700008392334,23.479999542236328,23.56999969482422,37850100,0,0,48.0099983215332,48.540000915527344,47.599998474121094,47.68000030517578,43813700,0,0,288.5299987792969,289.69000244140625,278.5299987792969,278.9100036621094,43157200,0,0,140.27999877929688,140.88999938964844,133.44000244140625,133.5,14549700,0,0,48.25,48.84000015258789,47.52000045776367,47.97999954223633,33171300,0,0,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,96418800,0,0,137.66000366210938,138.72000122070312,130.25,131.89999389648438,3623000,0,0,16.84000015258789,16.899999618530273,15.970000267028809,15.970000267028809,87999200,0,0,33.5099983215332,33.880001068115234,32.400001525878906,32.41999816894531,18780200,0,0,11.039999961853027,12.029999732971191,11.039999961853027,11.420000076293945,26532000,0,0,4.480000019073486,4.605000019073486,4.340000152587891,4.340000152587891,18443900,0,0,55.27096490909615,56.22700230928809,54.51410291701627,54.6236457824707,9961700,0.0,0
2022-03-08,40.880001068115234,43.369998931884766,39.5099983215332,41.90999984741211,17363100,0,0,46.68000030517578,48.20000076293945,46.349998474121094,46.459999084472656,60018100,0,0,795.530029296875,849.989990234375,782.1699829101562,824.4000244140625,26799700,0,0,93.04000091552734,98.5999984741211,92.25,94.9000015258789,25130900,0,0,23.510000228881836,23.6299991607666,23.0,23.0,50813500,0,0,47.689998626708984,48.720001220703125,46.88999938964844,47.5,44813900,0,0,277.79998779296875,283.9599914550781,270.0,275.8500061035156,48159500,0,0,133.02000427246094,135.49000549316406,129.2899932861328,131.75,16552000,0,0,47.58000183105469,48.41999816894531,46.470001220703125,47.439998626708984,32913300,0,0,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,131148300,0,0,130.77000427246094,131.77999877929688,125.5999984741211,125.95999908447266,3593500,0,0,16.059999465942383,16.719999313354492,15.770000457763672,16.030000686645508,101020300,0,0,32.27000045776367,33.83000183105469,31.950000762939453,32.68000030517578,17410600,0,0,11.260000228881836,12.069999694824219,11.010000228881836,11.75,16700300,0,0,4.300000190734863,4.460000038146973,4.159999847412109,4.349999904632568,16454700,0,0,54.71327461859637,55.69919080099125,53.03025020506412,53.090003967285156,9549000,0.0,0
2022-03-09,42.76499938964844,45.75,42.0099983215332,44.380001068115234,18344800,0,0,48.790000915527344,49.75,48.349998474121094,49.15999984741211,34560200,0,0,839.47998046875,860.5599975585938,832.010009765625,858.969970703125,19728000,0,0,98.12000274658203,100.7300033569336,97.29000091552734,100.22000122070312,20811300,0,0,23.290000915527344,23.520000457763672,23.200000762939453,23.260000228881836,43814900,0,0,48.40999984741211,48.459999084472656,46.88999938964844,47.630001068115234,36076500,0,0,283.44000244140625,289.6000061035156,280.7799987792969,288.5,35204500,0,0,135.49000549316406,135.5,133.36000061035156,133.64999389648438,14673100,0,0,48.130001068115234,49.220001220703125,48.0,48.75,24718900,0,0,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,91454900,0,0,126.91000366210938,131.22000122070312,126.01000213623047,130.00999450683594,3852200,0,0,16.649999618530273,16.829999923706055,16.280000686645508,16.3700008392334,62846700,0,0,33.54999923706055,34.529998779296875,33.29999923706055,34.369998931884766,16886000,0,0,11.989999771118164,12.470000267028809,11.899999618530273,12.420000076293945,18056500,0,0,4.380000114440918,4.519999980926514,4.349999904632568,4.420000076293945,16281200,0,0,53.93000030517578,53.93000030517578,52.599998474121094,53.060001373291016,10250400,0.22,0
2022-03-10,43.689998626708984,43.689998626708984,39.7400016784668,41.470001220703125,23528800,0,0,48.2599983215332,49.56999969482422,47.849998474121094,49.0099983215332,26178800,0,0,851.4500122070312,854.4500122070312,810.3599853515625,838.2999877929688,19549500,0,0,99.05000305175781,99.31999969482422,96.4000015258789,98.55000305175781,14703200,0,0,23.219999313354492,23.219999313354492,22.940000534057617,23.190000534057617,40500800,0,0,47.290000915527344,47.310001373291016,46.15999984741211,46.65999984741211,36456000,0,0,283.0199890136719,286.6000061035156,280.5799865722656,285.5899963378906,30628000,0,0,132.36000061035156,134.1999969482422,131.6199951171875,133.63999938964844,8447200,0,0,48.310001373291016,49.290000915527344,48.04999923706055,49.20000076293945,24542300,0,0,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,105342000,0,0,130.0500030517578,134.1999969482422,128.92999267578125,133.55999755859375,2691800,0,0,16.110000610351562,16.40999984741211,15.760000228881836,16.329999923706055,72992600,0,0,33.630001068115234,34.439998626708984,33.369998931884766,34.119998931884766,12583300,0,0,12.029999732971191,12.109999656677246,11.609999656677246,12.050000190734863,15593400,0,0,4.255000114440918,4.269999980926514,3.740000009536743,3.950000047683716,33344500,0,0,53.02000045776367,55.47999954223633,51.279998779296875,52.36000061035156,18926000,0.0,0
2022-03-11,42.400001525878906,42.98500061035156,39.20000076293945,39.2400016784668,15185900,0,0,49.66999816894531,50.0,48.43000030517578,48.470001220703125,23695900,0,0,840.2000122070312,843.7999877929688,793.77001953125,795.3499755859375,22272800,0,0,99.75,99.81999969482422,95.5199966430664,96.56999969482422,15117200,0,0,23.600000381469727,23.700000762939453,23.149999618530273,23.190000534057617,54451800,0,0,47.150001525878906,47.279998779296875,45.77000045776367,45.83000183105469,27071400,0,0,287.9599914550781,289.510009765625,279.42999267578125,280.07000732421875,27192600,0,0,135.0800018310547,136.16000366210938,131.57000732421875,131.75,7049200,0,0,49.13999938964844,50.900001525878906,48.939998626708984,50.27000045776367,33696000,0,0,158.92999267578125,159.27999877929688,154.5,154.72999572753906,96836300,0,0,132.69000244140625,138.25,131.1300048828125,135.25,2681800,0,0,16.399999618530273,16.479999542236328,16.010000228881836,16.040000915527344,54918300,0,0,34.040000915527344,34.11000061035156,32.880001068115234,33.0,15740500,0,0,12.4399995803833,12.460000038146973,11.010000228881836,11.020000457763672,20989600,0,0,4.03000020980835,4.079999923706055,3.440000057220459,3.440000057220459,35055500,0,0,52.900001525878906,52.900001525878906,50.0,50.060001373291016,9216800,0.0,0
